"행정구역별(읍면동)","연령별",2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비
"울산광역시","45~49세",111764,56073,55691,100.7,111218,55095,56123,98.2,109101,54251,54850,98.9,105641,52547,53094,99.0,102387,50955,51432,99.1,98136,48975,49161,99.6
"울산광역시","50~54세",108010,56240,51770,108.6,105923,55295,50628,109.2,105196,54224,50972,106.4,106434,54185,52249,103.7,108271,54637,53634,101.9,107401,53606,53795,99.6
"울산광역시","55~59세",92333,47354,44979,105.3,98668,50553,48115,105.1,101675,52379,49296,106.3,103394,53366,50028,106.7,103128,53237,49891,106.7,102721,53128,49593,107.1
"울산광역시","60~64세",60131,30765,29366,104.8,65981,33528,32453,103.3,70485,35647,34838,102.3,75971,38500,37471,102.7,81602,41273,40329,102.3,86667,43835,42832,102.3
"울산광역시","65~69세",38273,19561,18712,104.5,41329,21084,20245,104.1,44638,22744,21894,103.9,46875,23702,23173,102.3,50234,25279,24955,101.3,56099,28034,28065,99.9
"울산광역시","70~74세",26989,12458,14531,85.7,27002,12710,14292,88.9,27754,13296,14458,92.0,29859,14549,15310,95.0,32533,16105,16428,98.0,35372,17512,17860,98.1
"울산광역시","75~79세",18581,7259,11322,64.1,19695,7936,11759,67.5,21672,9052,12620,71.7,22972,9794,13178,74.3,23579,10146,13433,75.5,23848,10472,13376,78.3
"울산광역시","80~84세",10721,3317,7404,44.8,11739,3660,8079,45.3,12441,4006,8435,47.5,13216,4299,8917,48.2,14188,4853,9335,52.0,15088,5355,9733,55.0
"울산광역시","85~89세",4854,1021,3833,26.6,5233,1147,4086,28.1,5619,1293,4326,29.9,6067,1496,4571,32.7,6712,1717,4995,34.4,7394,1968,5426,36.3
"울산광역시","90~94세",1608,250,1358,18.4,1707,257,1450,17.7,1864,275,1589,17.3,1966,288,1678,17.2,2247,364,1883,19.3,2406,403,2003,20.1
"울산광역시","95~99세",297,51,246,20.7,336,59,277,21.3,385,56,329,17.0,430,64,366,17.5,450,58,392,14.8,523,64,459,13.9
"울산광역시","평균연령",38.4,37.4,39.5,-,38.9,37.9,40.0,-,39.6,38.6,40.6,-,40.2,39.2,41.3,-,40.8,39.8,41.9,-,41.5,40.5,42.6,-
"울산광역시","중위연령",39.5,38.1,41.1,-,40.1,38.6,41.7,-,40.8,39.4,42.4,-,41.6,40.1,43.2,-,42.3,40.9,44.0,-,43.1,41.7,44.7,-
